quantity,prefix,style and dimensions,outer cover,foam,underpanel,incontinence cover,colour,notes,descriptions,pn,part_of_sequence,date_as_string,rigidiser cover
2,1110,00 - 1820,0,0,0,0,,,"Cushion Rigidiser 18""x20""",1110-1820-200,5.1,221102,1
1,1105,HC - 1420,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 14"" wide x 20"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-14XX-0HC,29.1,221114,0
1,1125,00 - 1919,1,0,0,0,000 Black,"Jay-Label: Attach Jay Label; 1111-0335-000: No pommel shaping/contouring on cushion; 1111-0491-077: Change cushion outer cover border fabric to Royal Purple; 1111-0304-000: SuperHigh Cushion modification, increase contouring to full height along depth",Spex cushion spare outer cover - custom modified shape to suit scripted cushion 19x19 0SS with custom elements,1125-2949-600,21.22,221118,0
1,1110,00 - 2018,0,0,0,0,,,"Cushion Rigidiser Custom size up to 20"" wide 20"" wide x 18"" long",1110-2929-200,18.3,221122,1
1,1105,AH - 1822,1,1,1,1,000 Black,"1111-0303-000: Custom Superhigh step height cushion lateral contouring; 0011-1010-002: Enable MOH Asset Label. Note: Spex Manufacturing Notes. Note: Roho required Air Insert Single Valve Size B for Cushions 16"" - 20"" wide","Spex Classic Air High Contour adjustable cushion, 18"" wide x [22]"" deep, with Roho Dual Valve Air Cells in Ischial Well. Includes contouring cell system for pelvis, hip and leg positioning. Includes incontinence cover and outer washable cover.",1105-18XX-DAHC,55.1,221104,0
1,1105,AS - 1620,1,1,1,1,000 Black,,"Spex Classic Air Standard Contour adjustable cushion, 16"" wide x 20"" deep, with Roho Dual Valve Air Cells in Ischial Well. Includes contouring cell system for pelvis, hip and leg positioning. Includes incontinence cover and outer washable cover.",1105-1620-DASC,7.1,221107,0
1,1105,AS - 1818,1,1,1,1,000 Black,,"Spex Classic Air Standard Contour adjustable cushion, 18"" wide x 18"" deep, with Dual Valve Air Cells in Ischial Well. Includes contouring cell system for pelvis, hip and leg positioning. Includes incontinence cover and outer washable cover.",1105-1818-DASC,12.1,221110,0
1,1105,HC - 1413,1,1,1,1,000 Black,Jay-Label: Attach Jay Label,"Spex Classic High-Contour adjustable cushion, 14"" wide x [13]"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-14XX-0HC,16.2,221117,0
1,1125,HC - 1012,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 10"" wide x 12"" deep",1125-1012-6HC,11.3,221109,0
1,1105,SS - 2020,1,1,1,1,000 Black,,"Spex Classic Superhigh Contour Step adjustable cushion, 20"" wide x 20"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-2020-0SS,2.11,221122,0
1,1125,HC - 119,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 11"" wide x 9"" deep",1125-11XX-6HC,20.2,221122,0
1,1105,HC - 12,1,1,1,1,090 Granite Grey,Jay-Label: Attach Jay Label; 1111-0491-090: Change cushion outer cover border fabric to Granite Grey,"Spex Classic Kidz High-Contour adjustable cushion, 12"" wide x [_13_]"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-12XX-0HC_090,14.3,221121,0
1,1105,HC - 1210,1,1,1,1,000 Black,Jay-Label: Attach Jay Label,"Spex Classic Kidz High-Contour adjustable cushion, 12"" wide x [10]"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-12XX-0HC,39.2,221108,0
1,1125,HC - 1210,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 12"" wide x [10]"" deep",1125-12XX-6HC,39.3,221108,0
1,1145,HC - 1212,0,1,1,0,,,"spex cushion foam unit, 12"" wide x 12"" deep, high contour",1145-1212-3HC,1.1,221108,0
1,1105,HC - 1212,1,1,1,1,000 Black,,"Spex Classic Kidz High-Contour adjustable cushion, 12"" wide x 12"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1212-0HC,18.2,221110,0
1,1105,HC - 1212,1,1,1,1,000 Black,,"Spex Classic Kidz High-Contour adjustable cushion, 12"" wide x 12"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1212-0HC,21.1,221110,0
1,1105,HC - 1518,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 15"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1518-0HC,40.1,221117,0
1,1105,HC - 1213,1,1,1,1,077 Royal Purple,,"Spex Classic Kidz High-Contour adjustable cushion, 12"" wide x 13"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-12XX-0HC_077,44.2,221102,0
1,1125,HC - 1213,1,0,0,0,077 Royal Purple,,"Spex High Contour Cushion spare outer breathable cover, 12"" wide x 13"" deep",1125-12XX-6HC_077,44.3,221102,0
1,1105,HC - 1616,1,1,1,1,030 Mango Orange,Jay-Label: Attach Jay Label; 1111-0491-030: Change cushion outer cover border fabric to Mango Orange,"Spex Classic High-Contour adjustable cushion, 16"" wide x 16"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1616-0HC_030,12.1,221117,0
1,1105,HC - 1618,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 16"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1618-0HC,2.5,221117,0
1,1125,HC - 1213,1,0,0,0,090 Granite Grey,1111-0491-090: Change cushion outer cover border fabric to Granite Grey; Jay-Label: Attach Jay Label,"Spex High Contour Cushion spare outer breathable cover, 12"" wide x [13]"" deep",1125-12XX-6HC_090,14.4,221121,0
1,1125,HC - 1214,1,0,0,0,028 Calypso Pink,,"Spex High Contour Cushion spare outer breathable cover, 12"" wide x 14"" deep",1125-1214-6HC_028,5.9,221104,0
1,1125,HC - 1214,1,0,0,0,077 Royal Purple,Note: Spex Manufacturing Notes. Note:Spare cover does not require spextex. Only main cover.,"Spex High Contour Cushion spare outer breathable cover, 12"" wide x 14"" deep",1125-1214-6HC_077,46.3,221104,0
1,1105,HC - 1214,1,1,1,1,077 Royal Purple,1111-0399-209: Spextex Wipe-down - top of cushion,"Spex Classic Kidz High-Contour adjustable cushion, 12"" wide x 14"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1214-0HC_077,46.4,221104,0
1,1125,HC - 1214,1,0,0,0,077 Royal Purple,,"Spex High Contour Cushion spare outer breathable cover, 12"" wide x 14"" deep",1125-1214-6HC_077,4.1,221107,0
1,1125,HC - 1214,1,0,0,0,077 Royal Purple,,"Spex High Contour Cushion spare outer breathable cover, 12"" wide x 14"" deep",1125-1214-6HC_077,4.8,221107,0
1,1125,HC - 1214,1,0,0,0,077 Royal Purple,,"Spex High Contour Cushion spare outer breathable cover, 12"" wide x 14"" deep",1125-1214-6HC_077,4.9,221107,0
1,1105,HC - 1214,1,1,1,1,000 Black,,"Spex Classic Kidz High-Contour adjustable cushion, 12"" wide x 14"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1214-0HC,5.1,221108,0
1,1105,HC - 1214,1,1,1,1,000 Black,,"Spex Classic Kidz High-Contour adjustable cushion, 12"" wide x 14"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1214-0HC,5.2,221108,0
1,1103,HC - 1214,1,1,0,1,000 Black,,"Vigour Kidz High Contour cushion, 12"" wide x 14"" deep, contoured with ischial and coccyx pressure care. Includes outer breathable cover and internal incontinence cover",1103-1214-0HC,5.1,221109,0
1,1125,HC - 1214,1,0,0,0,077 Royal Purple,,"Spex High Contour Cushion spare outer breathable cover, 12"" wide x 14"" deep",1125-1214-6HC_077,5.2,221109,0
1,1125,HC - 1214,1,0,0,0,077 Royal Purple,,"Spex High Contour Cushion spare outer breathable cover, 12"" wide x 14"" deep",1125-1214-6HC_077,5.3,221109,0
1,1123,HC - 1515,1,0,0,0,000 Black,,"Vigour High Contour Cushion spare outer breathable cover, 15"" wide x [15]"" deep",1123-15XX-6HC,30.7,221115,0
1,1123,HC - 1515,1,0,0,0,000 Black,,"Vigour High Contour Cushion spare outer breathable cover, 15"" wide x [15]"" deep",1123-15XX-6HC,30.7,221115,0
1,1123,HC - 1518,1,0,0,0,000 Black,,"Vigour High Contour Cushion spare outer breathable cover, 15"" wide x [18]"" deep",1123-15XX-6HC,30.7,221115,0
1,1123,HC - 1518,1,0,0,0,000 Black,,"Vigour High Contour Cushion spare outer breathable cover, 15"" wide x [18]"" deep",1123-15XX-6HC,30.7,221115,0
1,1123,HC - 15TBC,1,0,0,0,000 Black,,"Vigour High Contour Cushion spare outer breathable cover, 15"" wide x [__]"" deep",1123-15XX-6HC,30.11,221115,0
1,1125,HC - 1818,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 18"" wide x 18"" deep",1125-1818-6HC,6.1,221115,0
1,1125,HC - 1818,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 18"" wide x 18"" deep",1125-1818-6HC,6.9,221115,0
1,1105,HC - 1618,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 16"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1618-0HC,2.6,221117,0
1,1105,HC - 1618,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 16"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1618-0HC,2.7,221117,0
1,1105,HC - 1618,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 16"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1618-0HC,2.8,221117,0
1,1105,SS - 2020,1,1,1,1,000 Black,,"Spex Classic Superhigh Contour Step adjustable cushion, 20"" wide x 20"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-2020-0SS,2.12,221122,0
1,1105,SS - 2020,1,1,1,1,000 Black,,"Spex Classic Superhigh Contour Step adjustable cushion, 20"" wide x 20"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-2020-0SS,2.13,221122,0
1,1105,SC - 1816,1,1,1,1,000 Black,,"Spex Classic Standard-Contour adjustable cushion, 18"" wide x 16"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1816-0SC,2.14,221122,0
1,1105,SC - 1816,1,1,1,1,000 Black,,"Spex Classic Standard-Contour adjustable cushion, 18"" wide x 16"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1816-0SC,2.15,221122,0
1,1125,HC - 1216,1,0,0,0,054 Leaf Green,,"Spex High Contour Cushion spare outer breathable cover, 12"" wide x 16"" deep",1125-12XX-6HC_054,21.2,221122,0
1,1145,HC - 1314,0,1,1,0,,,"spex cushion foam unit, 13"" wide x 14"" deep, high contour",1145-1314-3HC,1.4,221108,0
1,1105,HC - 1314,1,1,1,1,077 Royal Purple,1111-0491-077: Change cushion outer cover border fabric to Royal Purple; Jay-Label: Attach Jay Label,"Spex Classic Kidz High-Contour adjustable cushion, 13"" wide x 14"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1314-0HC_077,36.1,221121,0
1,1125,HC - 1314,1,0,0,0,077 Royal Purple,Jay-Label: Attach Jay Label; 1111-0491-077: Change cushion outer cover border fabric to Royal Purple,"Spex High Contour Cushion spare outer breathable cover, 13"" wide x 14"" deep",1125-1314-6HC_077,36.2,221121,0
1,1105,HC - 1412,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 14"" wide x [12]"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-14XX-0HC,32.1,221116,0
1,1145,HC - 1316,0,1,1,0,,,"Spex Cushion foam unit only, 13"" wide x 16"" deep, high contour ",1145-1316-3HC,1.5,221108,0
1,1125,HC - 1418,1,0,0,0,000 Black,Jay-Label: Attach Jay Label,"Spex High Contour Cushion spare outer breathable cover, 14"" wide x 18"" deep",1125-1418-6HC,17.2,221116,0
1,1105,HC - 1618,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 16"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1618-0HC,2.9,221117,0
1,1125,HC - 1414,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 14"" wide x 14"" deep",1125-1414-6HC,4.12,221107,0
1,1125,HC - 1414,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 14"" wide x 14"" deep",1125-1414-6HC,4.13,221107,0
1,1145,HC - 1414,0,1,1,0,,,"spex cushion foam unit, 14"" wide x 14"" deep, high contour",1145-1414-3HC,1.8,221108,0
1,1145,HC - 1414,0,1,1,0,,,"spex cushion foam unit, 14"" wide x 14"" deep, high contour",1145-1414-3HC,1.9,221108,0
1,1105,HC - 1414,1,1,1,1,077 Royal Purple,"Jay-Label: Attach Jay Label; 1111-0491-077: Change cushion outer cover border fabric to Royal Purple; 1111-0391-000: ½” soft SunMate overlay, cushion top","Spex Classic High-Contour adjustable cushion, 14"" wide x 14"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1414-0HC_077,31.1,221108,0
1,1125,HC - 1414,1,0,0,0,000 Black,"Jay-Label: Attach Jay Label; 1111-0391-000: ½” soft SunMate overlay, cushion top","Spex High Contour Cushion spare outer breathable cover, 14"" wide x 14"" deep",1125-1414-6HC,31.2,221108,0
1,1125,HC - 1414,1,0,0,0,077 Royal Purple,,"Spex High Contour Cushion spare outer breathable cover, 14"" wide x 14"" deep",1125-1414-6HC_077,5.4,221109,0
1,1125,HC - 1414,1,0,0,0,077 Royal Purple,,"Spex High Contour Cushion spare outer breathable cover, 14"" wide x 14"" deep",1125-1414-6HC_077,5.5,221109,0
1,1125,HC - 1414,1,0,0,0,054 Leaf Green,,"Spex High Contour Cushion spare outer breathable cover, 14"" wide x 14"" deep",1125-1414-6HC_054,4.1,221118,0
1,1125,HC - 1414,1,0,0,0,090 Granite Grey,,"Spex High Contour Cushion spare outer breathable cover, 14"" wide x 14"" deep",1125-1414-6HC_090,4.2,221118,0
1,1145,HC - 1415,0,1,1,0,,,"Spex Cushion High-Contour foam unit, 14"" wide x 15"" deep.",1145-1415-3HC,1.1,221108,0
1,1105,HC - 1416,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 14"" wide x 16"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1416-0HC,4.3,221107,0
1,1125,HC - 1617,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 16"" wide x 17"" deep",1125-16XX-6HC,20.2,221114,0
1,1106,HC - 1618,1,1,0,1,000 Black,,"SPEX Flex cushion system, 16"" wide x 18"" deep, High Contour. Biomechanical technology for limited hip flexion, asymmetric thigh alignment and other complex postures.",1106-1618-0HC,34.1,221114,0
1,1105,HC - 1418,1,1,1,1,000 Black,Jay-Label: Attach Jay Label,"Spex Classic High-Contour adjustable cushion, 14"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1418-0HC,17.1,221116,0
1,1125,HC - 1416,1,0,0,0,054 Leaf Green,,"Spex High Contour Cushion spare outer breathable cover, 14"" wide x 16"" deep",1125-1416-6HC_054,4.5,221118,0
1,1125,HC - 1416,1,0,0,0,077 Royal Purple,,"Spex High Contour Cushion spare outer breathable cover, 14"" wide x 16"" deep",1125-1416-6HC_077,4.6,221118,0
1,1125,HC - 1416,1,0,0,0,077 Royal Purple,,"Spex High Contour Cushion spare outer breathable cover, 14"" wide x 16"" deep",1125-1416-6HC_077,4.7,221118,0
1,1125,HC - 1416,1,0,0,0,090 Granite Grey,,"Spex High Contour Cushion spare outer breathable cover, 14"" wide x 16"" deep",1125-1416-6HC_090,4.8,221118,0
1,1103,HC - 1416,1,1,0,1,077 Royal Purple,,"Vigour High Contour cushion, 14"" wide x 16"" deep, contoured with ischial and coccyx pressure care. Includes outer breathable cover and internal incontinence cover",1103-1416-0HC_077,15.1,221118,0
1,1125,HC - 1416,1,0,0,0,077 Royal Purple,,"Spex High Contour Cushion spare outer breathable cover, 14"" wide x 16"" deep",1125-1416-6HC_077,3.1,221121,0
1,1125,HC - 1416,1,0,0,0,030 Mango Orange,,"Spex High Contour Cushion spare outer breathable cover, 14"" wide x 16"" deep",1125-1416-6HC_030,3.8,221121,0
1,1125,HC - 1416,1,0,0,0,030 Mango Orange,,"Spex High Contour Cushion spare outer breathable cover, 14"" wide x 16"" deep",1125-1416-6HC_030,3.9,221121,0
1,1105,HC - 1416,1,1,1,1,030 Mango Orange,,"Spex Classic High-Contour adjustable cushion, 14"" wide x 16"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1416-0HC_030,21.1,221121,0
1,1145,HC - 1416,0,1,1,0,,,"spex cushion foam unit, 14"" wide x 16"" deep, high contour",1145-1416-3HC,3.1,221122,0
1,1105,SC - 1816,1,1,1,1,000 Black,,"Spex Classic Standard-Contour adjustable cushion, 18"" wide x 16"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1816-0SC,2.16,221122,0
1,1125,HC - 1417,1,0,0,0,054 Leaf Green,,"Spex High Contour Cushion spare outer breathable cover, 14"" wide x 17"" deep",1125-14XX-6HC_054,12.2,221122,0
1,1105,HC - 1517,1,1,1,1,000 Black,Jay-Label: Attach Jay Label,"Spex Classic High-Contour adjustable cushion, 15"" wide x 17"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1517-0HC,15.1,221115,0
1,1125,HC - 1820,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 18"" wide x 20"" deep",1125-1820-6HC,6.11,221115,0
1,1125,HC - 1620,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 16"" wide x 20"" deep",1125-1620-6HC,24.4,221116,0
1,1106,HC - 1621,1,1,0,1,000 Black,"1111-0292-000: Cushion cut-out For Leg Length Discrepancy. Dimension T = 2"". User's side=RHS","SPEX Flex cushion system. Custom. High Contour. Biomechanical technology for limited hip flexion, asymmetric thigh alignment and other complex postures.16"" wide x 21"" deep",1106-2929-0HC,37.1,221116,0
1,1145,HC - 1418,0,1,1,0,,,"spex cushion foam unit, 14"" wide x 18"" deep, high contour",1145-1418-3HC,2.23,221118,0
1,1145,HC - 1418,0,1,1,0,,,"spex cushion foam unit, 14"" wide x 18"" deep, high contour",1145-1418-3HC,3.8,221122,0
1,1103,SC - 1214,1,1,0,1,000 Black,,"Vigour Kidz Standard Contour cushion, 12"" wide x 14"" deep, contoured with ischial and coccyx pressure care. Includes outer breathable cover and internal incontinence cover",1103-1214-0SC,2.17,221122,0
1,1136,HC - 1618,0,0,0,1,000 Black,,"SPEX Flex cushion incontinence cover, 16"" wide x 18"" deep, High Contour",1136-1618-7HC,34.2,221114,0
1,1125,HC - 1820,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 18"" wide x 20"" deep",1125-1820-6HC,6.12,221115,0
1,1125,HC - 1820,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 18"" wide x 20"" deep",1125-1820-6HC,6.13,221115,0
1,1105,HC - 1516,1,1,1,1,054 Leaf Green,,"Spex Classic High-Contour adjustable cushion, 15"" wide x 16"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1516-0HC_054,12.1,221108,0
1,1145,HC - 1516,0,1,1,0,,,"spex cushion foam unit, 15"" wide x 16"" deep, high contour",1145-1516-3HC,3.16,221122,0
1,1105,HC - 1818,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 18"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1818-0HC,23.1,221115,0
1,1123,SC - 1312,1,0,0,0,000 Black,,"Vigour Standard Contour Cushion spare outer breathable cover, 13"" wide x 12"" deep",1123-1312-6SC,30.1,221115,0
1,1125,SC - 1516,1,0,0,0,000 Black,,"Spex Standard Contour cushion spare outer breathable cover, 15"" wide x 16"" deep",1125-1516-6SC,17.1,221115,0
1,1123,SC - 1618,1,0,0,0,000 Black,,"Vigour Standard Contour Cushion spare outer breathable cover, 16"" wide x 18"" deep",1123-1618-6SC,30.9,221115,0
1,1123,SC - 1818,1,0,0,0,000 Black,,"Vigour Standard Contour Cushion spare outer breathable cover, 18"" wide x 18"" deep",1123-1818-6SC,29.1,221115,0
1,1105,HC - 1818,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 18"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1818-0HC,40.9,221117,0
1,1105,HC - 1818,1,1,1,1,000 Black,Jay-Label: Attach Jay Label,"Spex Classic High-Contour adjustable cushion, 18"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1818-0HC,14.1,221115,0
1,1105,HC - 1614,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 16"" wide x 14"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-16XX-0HC,28.1,221108,0
1,1125,SC - 2120,1,0,0,0,000 Black,,"Spex XLella Standard Contour cushion spare outer breathable cover Custom 21"" wide x 20"" long ",1125-2939-6SC,12.1,221115,0
1,1126,HC - 1621,1,0,0,0,000 Black,"1111-0292-000: Cushion cut-out For Leg Length Discrepancy. Dimension T = 2"". User's side=[R]","SPEX Flex cushion outer cover, Custom, High Contour; 16"" wide x 21"" deep.",1126-2929-6HC,37.2,221116,0
1,1105,HC - 1618,1,1,1,1,000 Black,Jay-Label: Attach Jay Label,"Spex Classic High-Contour adjustable cushion, 16"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1618-0HC,14.1,221116,0
1,1125,HC - 2119,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover Custom 21"" wide x 19"" long ",1125-2929-6HC,21.2,221116,0
1,1123,SC - 1111,1,0,0,0,000 Black,,"Vigour Standard Contour Cushion spare outer breathable cover, 11"" wide x [ 11 ]"" deep",1123-11XX-6SC,24.6,221116,0
1,1105,HC - 1820,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 18"" wide x 20"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1820-0HC,2.11,221117,0
1,1105,HC - 1820,1,1,1,1,000 Black,1111-0336-000: Std shaping/contouring in pommel area,"Spex Classic High-Contour adjustable cushion, 18"" wide x 20"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1820-0HC,44.1,221117,0
1,1125,HC - 1616,1,0,0,0,090 Granite Grey,,"Spex High Contour Cushion spare outer breathable cover, 16"" wide x 16"" deep",1125-1616-6HC_090,4.12,221118,0
1,1105,HC - 1616,1,1,1,1,000 Black,Jay-Label: Attach Jay Label,"Spex Classic High-Contour adjustable cushion, 16"" wide x 16"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1616-0HC,26.1,221118,0
1,1126,HC - 1618,1,0,0,0,000 Black,,"SPEX Flex cushion outer cover, 16"" wide x 18"" deep, High Contour",1126-1618-6HC,34.3,221114,0
1,1105,HC - 1617,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 16"" wide x 17"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-16XX-0HC,20.1,221114,0
1,1106,HC - 1618,1,1,0,1,000 Black,,"SPEX Flex cushion system, 16"" wide x 18"" deep, High Contour. Biomechanical technology for limited hip flexion, asymmetric thigh alignment and other complex postures.",1106-1618-0HC,54.2,221031,0
1,1126,HC - 1618,1,0,0,0,000 Black,,"SPEX Flex cushion outer cover, 16"" wide x 18"" deep, High Contour",1126-1618-6HC,54.3,221031,0
1,1125,HC - 1618,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 16"" wide x 18"" deep",1125-1618-6HC,4.17,221107,0
1,1125,HC - 1618,1,0,0,0,022 Chilli Red,,"Spex High Contour Cushion spare outer breathable cover, 16"" wide x 18"" deep",1125-1618-6HC_022,4.18,221107,0
1,1125,HC - 1618,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 16"" wide x 18"" deep",1125-1618-6HC,5.6,221108,0
1,1125,HC - 1618,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 16"" wide x 18"" deep",1125-1618-6HC,5.8,221109,0
1,1105,HC - 1618,1,1,1,1,028 Calypso Pink,,"Spex Classic High-Contour adjustable cushion, 16"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1618-0HC_028,32.2,221109,0
1,1125,HC - 1618,1,0,0,0,028 Calypso Pink,,"Spex High Contour Cushion spare outer breathable cover, 16"" wide x 18"" deep",1125-1618-6HC_028,32.3,221109,0
1,1105,HC - 1618,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 16"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1618-0HC,2.5,221110,0
1,1105,HC - 1618,1,1,1,1,000 Black,,"Spex Classic High-Contour adjustable cushion, 16"" wide x 18"" deep, with contouring cell system for pelvis, hip and leg positioning.",1105-1618-0HC,2.6,221110,0
1,1125,HC - 1920,1,0,0,0,000 Black,,"Spex High Contour Cushion spare outer breathable cover, 19"" wide x 20"" deep",1125-1920-6HC,19.2,221114,0
1,1103,SC - 1212,1,1,0,1,000 Black,,"Vigour Kidz Standard Contour cushion, 12"" wide x 12"" deep, contoured with ischial and coccyx pressure care. Includes outer breathable cover and internal incontinence cover",1103-1212-0SC,32.1,221114,0
1,1123,SC - 1212,1,0,0,0,000 Black,,"Vigour Standard Contour Cushion spare outer breathable cover, 12"" wide x 12"" deep",1123-1212-6SC,32.2,221114,0
